name,degree,address,tel,link,tag
레드버튼 강남점,4.0,서울 강남구 강남대로 442 1층,02-566-3799,https://place.map.kakao.com/1211948676,강남
레드버튼 강남2호점,4.4,서울 강남구 강남대로96길 5 지하2층,02-553-3799,https://place.map.kakao.com/1217878428,강남
레드버튼 시네마강남점,4.0,서울 강남구 강남대로 422 4-5층,02-556-3799,https://place.map.kakao.com/920171764,강남
홈즈앤루팡 강남점,3.3,서울 강남구 테헤란로1길 48 2층,02-567-8707,https://place.map.kakao.com/1159157170,강남
레드버튼 강남논현점,0.0,서울 강남구 학동로2길 55 3층,02-517-3799,https://place.map.kakao.com/1817996105,강남
보드게임카페 홈즈앤 루팡 신사가로수길점,5.0,서울 강남구 강남대로152길 13 지하1층,0503-7150-7971,https://place.map.kakao.com/1904517202,강남
에이 보드게임카페,4.2,서울 강남구 논현로161길 16 지하 1층,010-6499-9594,https://place.map.kakao.com/1866209532,강남
위펀,4.2,서울 강남구 논현로175길 75 지하1층 101호,070-7770-7705,https://place.map.kakao.com/1800549323,강남
데블다이스 보드게임카페 강남점,3.7,서울 강남구 테헤란로1길 29 4층,0507-1370-3912,https://place.map.kakao.com/897071174,강남
테이블그라운드 강남점,3.8,서울 강남구 강남대로94길 10 케이스퀘어 지하1층,02-557-9061,https://place.map.kakao.com/1746210175,강남
하이테이블,0.0,서울 강남구 테헤란로16길 13 지하1층 B101호,010-5282-0546,https://place.map.kakao.com/1047515761,강남
펀보드게임카페,3.6,서울 강남구 선릉로86길 34 3층,02-568-0870,https://place.map.kakao.com/1642290671,강남
데블다이스 보드게임카페 강남대로점,3.4,서울 강남구 강남대로 428 만이빌딩 3층,0507-1371-3912,https://place.map.kakao.com/187496328,강남
라스보드카페,3.4,서울 강남구 언주로172길 36 지하1층,02-3442-0320,https://place.map.kakao.com/1519225297,강남
데블다이스 보드게임카페 강남3호점,4.0,서울 강남구 테헤란로1길 42 5층,0507-1372-3912,https://place.map.kakao.com/1143207364,강남
올리브보드카페,0.0,서울 강남구 테헤란로64길 25 4층,,https://place.map.kakao.com/885227961,강남
다이스타운,3.4,서울 강남구 봉은사로2길 37 3층,02-555-6588,https://place.map.kakao.com/1390599294,강남
큐브보드카페,3.5,서울 강남구 강남대로102길 16 4층,02-563-5880,https://place.map.kakao.com/285620791,강남
펀타임 강남점,1.9,서울 강남구 테헤란로1길 17 상우빌딩 3층,,https://place.map.kakao.com/1506595559,강남
토마토보드카페,0.0,서울 강남구 테헤란로43길 10 지하1층,070-4189-4740,https://place.map.kakao.com/564297133,강남
고,0.0,서울 강남구 언주로172길 60,010-5550-3131,https://place.map.kakao.com/1039593706,강남
마피아카페,0.0,서울 강남구 강남대로62길 13 5층 502호,070-7954-4218,https://place.map.kakao.com/89980689,강남
케이보드게임카페,0.0,서울 강남구 논현로161길 16 지하1층,,https://place.map.kakao.com/785726845,강남
999존,0.0,서울 강남구 학동로2길 56 3층,,https://place.map.kakao.com/73695364,강남
데블다이스 보드게임카페 강남4호점,5.0,서울 강남구 테헤란로1길 42 6층,070-8838-3912,https://place.map.kakao.com/331166056,강남
엠지엠,5.0,서울 강남구 선릉로155길 15 지하 1층,02-3445-2660,https://place.map.kakao.com/1560733975,강남
벙커,0.0,서울 강남구 강남대로94길 55-3 지하1층,010-2929-8380,https://place.map.kakao.com/1536488889,강남
조이보드카페,1.0,서울 강남구 선릉로157길 14-7 압구정빌딩 지하1층,02-6013-2950,https://place.map.kakao.com/1200614422,강남
아수라발발타 역삼점,2.3,서울 강남구 테헤란로33길 13 서안빌딩 3층,02-553-6443,https://place.map.kakao.com/17546078,강남
봉보드카페,0.0,서울 강남구 학동로20길 54 지하1층,,https://place.map.kakao.com/798761852,강남
W보드카페,,서울 강남구 도산대로30길 16-4 명동빌딩 지하1층,02-543-5543,https://place.map.kakao.com/1266848264,강남
원스보드게임카페,5.0,서울 강남구 압구정로48길 34 지하1층,070-4647-4976,https://place.map.kakao.com/1366060779,강남
KK홀덤바,0.0,서울 강남구 논현로 507,010-7652-5144,https://place.map.kakao.com/1196331553,강남
디자인분더,0.0,서울 강남구 역삼로63길 21,,https://place.map.kakao.com/1686086944,강남
트리플엠,0.0,서울 강남구 도곡로 189 정금빌딩 지하1층,02-6213-0333,https://place.map.kakao.com/335011001,강남
투투,0.0,서울 강남구 압구정로 338,,https://place.map.kakao.com/930872929,강남
우노보드카페,0.0,서울 강남구 선릉로157길 15,,https://place.map.kakao.com/9898631,강남
한보드카페,0.0,서울 강남구 테헤란로27길 22 지하 2층,,https://place.map.kakao.com/539692521,강남
쿤보드카페,0.0,서울 강남구 압구정로42길 32,,https://place.map.kakao.com/25108210,강남
ZIN보드카페,0.0,서울 강남구 봉은사로1길 6 3층,,https://place.map.kakao.com/802155969,강남
썬보드카페,5.0,서울 강남구 테헤란로22길 13 예동빌딩 지하1층,02-557-7673,https://place.map.kakao.com/1192249455,강남
핑크버튼,0.0,서울 강남구 압구정로 336 지하1층,,https://place.map.kakao.com/829790506,강남
장미보드카페,0.0,서울 강남구 선릉로161길 15 3층,,https://place.map.kakao.com/134073171,강남
잭보드카페 압구정점,1.0,서울 강남구 언주로172길 59 지하 1층,02-548-0779,https://place.map.kakao.com/1801993399,강남
틸트보드까페,0.0,서울 강남구 압구정로 113-22,,https://place.map.kakao.com/20059498,강남
에스엠보드카페,0.0,서울 강남구 언주로172길 29 대성빌딩 지하1층,,https://place.map.kakao.com/2121367526,강남
블라인드보드카페,0.0,서울 강남구 언주로172길 53,,https://place.map.kakao.com/260360105,강남
레드버튼 잠실새내점,5.0,서울 송파구 올림픽로10길 9 4층,02-420-3799,https://place.map.kakao.com/264688739,강남
삼구오구보드게임카페,5.0,서울 송파구 백제고분로7길 24-19 2층,0504-1381-0632,https://place.map.kakao.com/105606869,강남
몬스터핸드,3.2,서울 송파구 올림픽로8길 10 3층,02-424-6054,https://place.map.kakao.com/496519868,강남
몬스터핸드 잠실점,3.7,서울 송파구 백제고분로7길 39 4층,02-415-6054,https://place.map.kakao.com/337647611,강남
보드게임카페 잠실새내점,4.7,서울 송파구 올림픽로10길 9 진영빌딩 4층,02-420-3799,https://place.map.kakao.com/1221252868,강남
울퍼보드게임카페,5.0,서울 송파구 백제고분로7길 24-17 2층,0507-1335-3502,https://place.map.kakao.com/966612110,강남
아수라발발타,0.0,서울 서초구 논현로17길 3 2층,,https://place.map.kakao.com/1474890310,강남
아지트보드게임카페,4.3,서울 송파구 올림픽로12길 4-23,02-412-2848,https://place.map.kakao.com/528293016,강남
더블업보드카페,0.0,서울 송파구 백제고분로7길 32-17,,https://place.map.kakao.com/648788244,강남
큐빅보드카페,0.0,서울 송파구 백제고분로7길 6-15 3층,02-424-2442,https://place.map.kakao.com/1819416073,강남
