보드게임이름,보드게임장르,보드게임간략소개,보드게임플레이인원수,게임규칙
5초 준다,"파티, 퀴즈",주어진 시간 안에 질문에 답하여 점수를 얻는 빠른 생각과 반응이 요구되는 게임,3명 이상,"1. 목표: 제한 시간 내에 세 가지 답을 말하여 가장 많은 점수를 얻는 것입니다.
2. 준비: 카드 박스를 테이블에 놓고 모든 플레이어가 도달할 수 있게 둡니다. 진행 라운드 수를 정합니다. (대규모 그룹은 2~3라운드, 소규모 그룹은 4~5라운드)
3. 진행: 게임 소유자가 첫 번째 플레이어로 시작하며, 왼쪽 플레이어가 카드 한 장을 뽑아 질문을 읽어줍니다. 카드에는 '3가지를 말해봐…'로 시작하는 질문이 적혀 있습니다. 질문이 끝나면 타이머를 작동시키고, 플레이어는 5초 안에 3가지 답을 말해야 합니다. 모든 구슬이 타이머 아래로 내려가기 전에 답을 다 말하면 1점을 얻습니다. 5초 안에 답을 못 하면 다음 플레이어에게 기회가 넘어가고, 앞서 말한 답은 사용할 수 없습니다.
4. 종료: 정해진 라운드가 끝나면 점수를 합산해 가장 높은 점수를 얻은 플레이어가 승리합니다.
5. 동점일 경우: 동점자가 있을 시, 동점자만을 대상으로 1라운드 추가 진행하여 우승자를 결정합니다."
디크립토,"추리, 단어",팀 간에 단서를 통해 비밀 코드를 맞추는 게임,3-8명,"디크립토는 팀원들과 단서를 통해 비밀 코드를 맞추는 게임입니다.
1. 준비: 각 팀은 단어 카드를 가져가서 코드 마스터가 해당 단어를 바탕으로 단서를 제시합니다.
2. 단서 작성: 코드 마스터는 코드 번호에 맞는 단어에 힌트를 작성하고, 팀원들이 이를 바탕으로 코드 번호를 맞춥니다.
3. 해독: 상대 팀은 우리 팀이 작성한 힌트를 토대로 코드를 해독하려고 시도하며, 정확하게 맞추면 해독 토큰을 얻습니다.
4. 승리 조건: 특정 횟수 동안 오답 토큰을 얻거나 해독 토큰을 얻은 횟수로 승패를 결정합니다."
딕싯,"추리, 파티",그림 카드를 이용해 이야기의 주제를 맞추는 게임,3-6명,"1. 이야기 주제 제시: 이야기꾼이 자신의 카드로 힌트를 제시합니다.
2. 카드 선택: 다른 플레이어들은 자신의 카드 중 힌트에 맞는 카드를 이야기꾼에게 제출합니다.
3. 투표: 플레이어들은 제출된 카드 중 이야기꾼의 카드를 맞추려고 합니다.
4. 점수 계산: 맞춘 플레이어와 이야기꾼은 점수를 얻으며, 가장 높은 점수를 가진 플레이어가 승리합니다."
도미니언,덱 빌딩,자신의 덱을 구성해 다양한 액션과 자원을 통해 점수를 얻는 전략 게임,2-4명,"1. 세팅: 플레이어는 초기 덱으로 구리와 영지를 받으며, 중앙에 기본 자원과 액션 카드 더미를 놓습니다.
2. 턴 진행: 각 턴마다 카드를 사용하여 액션과 구매를 진행하고, 새로운 카드를 덱에 추가합니다.
3. 덱 구성: 구매한 카드를 통해 덱을 강화하며 상대의 방해 카드도 사용할 수 있습니다.
4. 게임 종료: 더미가 소모되거나 특정 조건을 만족하면 게임이 끝나며, 가장 많은 점수를 얻은 플레이어가 승리합니다."
도망자,"전략, 추리",도망자와 수사관이 되어 서로를 추격하고 추리하는 게임,2명,"1. 도망자의 목표: 자신의 은신처 카드를 배치하며 42번 카드에 도달해 탈출하는 것이 목표입니다.
2. 수사관의 목표: 도망자가 42번 카드에 도달하기 전에 도망자가 놓은 은신처 카드를 추리하여 밝혀내야 합니다.
3. 게임 진행: 도망자는 매 턴마다 카드 배치를 통해 은신처를 확대하고, 수사관은 카드 번호를 추리하며 수사합니다.
4. 게임 종료: 도망자가 42번 카드에 도달하면 탈출에 성공하고 승리하며, 수사관이 모든 은신처를 밝히면 수사관이 승리합니다."
영리한 여우,"주사위, 전략",각 플레이어가 주사위를 굴려 점수를 기록하며 최대한 많은 보너스를 획득하는 게임,2-4명,"1. 플레이어는 주사위 6개를 굴리고, 한 개를 선택하여 기록합니다.
2. 나머지 주사위를 사용하여 보너스를 획득하거나 점수를 기록합니다.
3. 주사위 굴리기는 세 번의 기회를 가지며, 선택한 주사위의 눈에 따라 다른 주사위를 선택할 수 있습니다.
4. 모든 플레이어가 차례대로 주사위를 굴려 기록한 후, 점수를 비교하여 승리자를 결정합니다."
영리한 여우,"주사위, 전략",각 플레이어가 주사위를 굴려 점수를 기록하며 최대한 많은 보너스를 획득하는 게임,2-4명,"1. 플레이어는 주사위 6개를 굴리고, 한 개를 선택하여 기록합니다.
2. 나머지 주사위를 사용하여 보너스를 획득하거나 점수를 기록합니다.
3. 주사위 굴리기는 세 번의 기회를 가지며, 선택한 주사위의 눈에 따라 다른 주사위를 선택할 수 있습니다.
4. 모든 플레이어가 차례대로 주사위를 굴려 기록한 후, 점수를 비교하여 승리자를 결정합니다."
카후나,"전략, 점령",플레이어가 서로 섬의 지배권을 얻기 위해 다리 카드를 놓으며 경쟁하는 게임,2명,"1. 각 플레이어는 카드를 사용하여 다리를 놓고 섬의 다수를 점령하면 섬의 지배권을 획득합니다.
2. 두 번의 중간 점수 계산과 마지막 점수 계산을 통해 더 많은 섬을 지배한 플레이어가 승리합니다.
3. 각 섬마다 일정 수의 연결선을 따라 다리를 놓을 수 있으며, 상대방의 다리를 제거할 수도 있습니다."
블로커스,"퍼즐, 전략",색깔 블록을 보드 위에 배치하여 최대한 많은 블록을 사용하는 게임,2-4명,"1. 플레이어는 자신의 블록을 코너를 통해 연결하여 보드에 배치해야 하며, 같은 색상의 블록은 변의 접촉이 불가합니다.
2. 모든 블록을 사용할 수 없게 되면 게임이 종료되며, 남은 블록의 개수로 점수를 계산합니다.
3. 특별한 블록을 마지막에 사용하면 추가 점수를 획득할 수 있습니다."
보난자,"카드 거래, 수확",카드를 통해 콩을 심고 수확하여 금화를 얻는 게임,2-7명,"1. 플레이어는 손에 있는 콩 카드를 순서대로 심고, 동일한 종류의 콩을 모아 수확하여 금화를 얻습니다.
2. 카드는 다른 플레이어와 거래할 수 있으며, 콩을 심는 순서는 고정되어 있습니다.
3. 게임 종료 시 가장 많은 금화를 모은 플레이어가 승리합니다."
로스트 시티,"탐험, 카드",탐험가를 이용해 여러 도시를 탐험하고 승점을 얻는 게임,2-4명,"1. 플레이어는 손에 있는 카드를 사용하여 탐험가를 이동시키고, 목표 도시에 도달하여 승점을 획득합니다.
2. 카드의 숫자가 점점 커지게 사용해야 하며, 과학자는 두 배의 점수를 얻습니다.
3. 3번의 탐험 후 가장 높은 점수를 가진 플레이어가 승리합니다."
요트다이스,주사위,다양한 조합으로 주사위 점수를 기록해 최종 승리를 겨루는 게임,1-4명,"1. 주사위 굴리기: 각 차례마다 5개의 주사위를 최대 3번까지 굴릴 수 있습니다. 매번 굴릴 때마다 원하는 주사위를 고정하고 나머지를 다시 굴릴 수 있습니다.
2. 조합 선택: 3번 굴린 후에는, 얻은 주사위 조합을 특정 점수 칸에 기록합니다. 예를 들어, 같은 숫자 4개가 나오면 '4 of a Kind'에 기록할 수 있으며, 'Full House' 또는 'Large Straight' 등 조합별 점수가 다릅니다.
3. 점수 기록: 모든 조합을 채우지 못하면 0점을 기록할 수 있으며, 점수는 라운드별로 합산됩니다.
4. 게임 종료: 12개의 조합에 모두 점수가 기록되면 게임이 끝나고, 총합 점수가 가장 높은 플레이어가 승리합니다."
윙스팬,"전략, 엔진 빌딩",새들을 모아 생태계를 확장하는 전략 게임,1-5명,"1. 새 배치: 각 턴에 플레이어는 손에 있는 새 카드를 배치하여 새장을 확장합니다. 새들은 특정 먹이(벌레, 열매 등)를 필요로 하고, 둥지 형태에 따라 배치 위치가 달라집니다.
2. 먹이와 알 수집: 새를 배치하면 해당 새의 보너스 자원(먹이나 알)을 획득할 수 있으며, 자원을 전략적으로 모아야 합니다.
3. 엔진 빌딩: 새들의 능력을 활성화하여 다른 새를 배치할 자원을 모으거나, 추가 점수를 얻을 수 있는 시스템을 구축합니다.
4. 게임 종료 및 점수 계산: 4라운드가 끝나면 각 라운드 목표, 새 카드, 자원 및 보너스 점수를 합산하여 가장 높은 점수를 가진 플레이어가 승리합니다."
